Animal Id,Animal Type,Animal Breed,Kennel Number,Kennel Status,Intake Type,Intake Subtype,Reason,Intake Date,Intake Condition,Outcome Type,Outcome Date
A1117412,DOG,AM PIT BULL TER,FOUND,IMPOUNDED,STRAY,WEB,,2021-04-02,NORMAL,FOUND EXP,2021-05-05
A1116377,DOG,LABRADOR RETR,CC 26,UNAVAILABLE,STRAY,OTC,OTHRINTAKS,2021-03-19,APP WNL,ADOPTION,2021-03-20
A1117778,CAT,DOMESTIC SH,INCU 01,IMPOUNDED,FOSTER,RETURN,OTHRINTAKS,2021-04-25,APP SICK,EUTHANIZED,2021-04-29
A1116493,CAT,DOMESTIC SH,CC 24,RELEASED FROM QUARANTINE,CONFISCATED,QUARANTINE,OTHER,2021-03-21,APP WNL,RETURNED TO OWNER,2021-03-31
A1115787,DOG,FRENCH BULLDOG,DC 01,UNAVAILABLE,KEEPSAFE,OWN DECEAS,OTHRINTAKS,2021-03-09,APP WNL,RETURNED TO OWNER,2021-03-20
A1120176,DOG,SHIH TZU,LFSD 22,UNAVAILABLE,OWNER SURRENDER,WALK IN,MEDICAL,2021-05-14,APP SICK,TRANSFER,2021-05-15
A1116798,CAT,DOMESTIC SH,LFC 078,UNAVAILABLE,FOSTER,RETURN,OTHRINTAKS,2021-05-14,APP WNL,TRANSFER,2021-05-15
A1116037,CAT,DOMESTIC SH,AC 051,UNAVAILABLE,OWNER SURRENDER,OTC,MEDICAL,2021-03-13,APP SICK,ADOPTION,2021-03-20
A1117098,WILDLIFE,OPOSSUM,206010-01,UNAVAILABLE,WILDLIFE,NON-RABIES,OTHRINTAKS,2021-03-31,UNDERAGE,EUTHANIZED,2021-03-31
A1117909,DOG,ALASKAN HUSKY,LFD 069,UNAVAILABLE,STRAY,CONFINED,OTHRINTAKS,2021-04-12,APP WNL,RETURNED TO OWNER,2021-04-14
A1114619,DOG,PIT BULL,VIP28,UNAVAILABLE,OWNER SURRENDER,APPOINT,BEHAVIOR,2021-02-13,APP WNL,ADOPTION,2021-03-20
A1102629,DOG,PIT BULL,LFD 116,IMPOUNDED,STRAY,CONFINED,OTHRINTAKS,2021-05-11,APP WNL,RETURNED TO OWNER,2021-05-15
A1117489,DOG,LABRADOR RETR,PSDOG 17,UNAVAILABLE,OWNER SURRENDER,OTC,BEHAVIOR,2021-04-11,APP WNL,ADOPTION,2021-04-14
A1115882,DOG,PIT BULL,QD 05,RELEASED FROM QUARANTINE,CONFISCATED,QUARANTINE,OTHRINTAKS,2021-03-10,APP WNL,RETURNED TO OWNER,2021-03-20
A1121382,WILDLIFE,OPOSSUM,186036-01,UNAVAILABLE,WILDLIFE,NON-RABIES,OTHRINTAKS,2021-05-27,APP WNL,WILDLIFE,2021-05-27
A1118820,DOG,LABRADOR RETR,LFD 052,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2021-04-26,APP WNL,ADOPTION,2021-04-29
A1115241,DOG,PIT BULL,LFD 153,UNAVAILABLE,STRAY,CONFINED,OTHRINTAKS,2021-02-26,APP WNL,ADOPTION,2021-03-20
A1116808,DOG,LABRADOR RETR,PSDOG 17,UNAVAILABLE,OWNER SURRENDER,APPOINT,NOTRIGHTFT,2021-04-27,APP WNL,ADOPTION,2021-04-29
A1114629,DOG,AUST CATTLE DOG,LFD 022,UNAVAILABLE,FOSTER,RETURN,OTHRINTAKS,2021-03-19,APP WNL,ADOPTION,2021-03-20
A1115163,CAT,DOMESTIC SH,FOSTER,PENDING,STRAY,CONFINED,MEDICAL,2021-02-25,APP SICK,FOSTER,2021-02-25
A1113265,DOG,LABRADOR RETR,INJD 007,UNAVAILABLE,TREATMENT,HEART WORM,OTHRINTAKS,2021-03-31,APP WNL,TREATMENT,2021-03-31
A1116186,DOG,IRISH TERRIER,DC 04,UNAVAILABLE,STRAY,FIELD,OTHRINTAKS,2021-03-16,APP WNL,ADOPTION,2021-03-20
A1116456,DOG,PIT BULL,AD 016,UNAVAILABLE,STRAY,CONFINED,OTHRINTAKS,2021-03-20,APP INJ,ADOPTION,2021-04-01
A1117077,DOG,LABRADOR RETR,PSDOG 14,UNAVAILABLE,OWNER SURRENDER,FIELD,FINANCIAL,2021-03-30,APP WNL,ADOPTION,2021-04-01
A1116411,CAT,DOMESTIC SH,QC 05,UNAVAILABLE,OWNER SURRENDER,FIELD,BEHAVIOR,2021-03-19,APP WNL,TRANSFER,2021-03-31
A1130245,DOG,AUST CATTLE DOG,VIP23,AVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2021-09-26,APP WNL,FOSTER,2022-01-15
A1123218,DOG,BORDER COLLIE,AD 090,AVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2021-06-18,APP WNL,ADOPTION,2021-06-27
A1115922,DOG,PIT BULL,AD 021,UNAVAILABLE,STRAY,OTC,OTHRINTAKS,2021-03-11,APP SICK,ADOPTION,2021-03-20
A1119621,DOG,CHOW CHOW,VIP15,UNAVAILABLE,OWNER SURRENDER,APPOINT,PERSNLISSU,2021-05-07,APP WNL,ADOPTION,2021-05-27
A1118068,CAT,RAGDOLL,LOST,IMPOUNDED,STRAY,WEB,,2021-03-10,NORMAL,LOST EXP,2021-05-15
A1115474,CAT,DOMESTIC SH,CC 24,UNAVAILABLE,TREATMENT,SPAY/NEUT,OTHRINTAKS,2021-04-29,APP WNL,TREATMENT,2021-04-29
A1122686,DOG,CHIHUAHUA SH,LOST,IMPOUNDED,STRAY,WEB,,2021-06-07,NORMAL,LOST EXP,2021-07-13
A1044782,DOG,LABRADOR RETR,LFD 150,UNAVAILABLE,TRANSFER,ALUMNI,OTHRINTAKS,2021-03-24,APP WNL,TRANSFER,2021-04-14
A1121832,DOG,LABRADOR RETR,SMD03,UNAVAILABLE,STRAY,CONFINED,OTHRINTAKS,2021-06-02,APP INJ,TRANSFER,2021-06-04
A1116229,DOG,LABRADOR RETR,DC 10,UNAVAILABLE,STRAY,AT LARGE,OTHER,2021-03-17,APP WNL,ADOPTION,2021-03-20
A1121310,CAT,DOMESTIC SH,IC 03,AVAILABLE,STRAY,AT LARGE,MEDICAL,2021-05-26,APP SICK,FOSTER,2021-05-31
A1119834,DOG,BEAGLE,PCD 20,IMPOUNDED,KEEPSAFE,OWN HOSPIT,OTHRINTAKS,2021-05-10,APP WNL,RETURNED TO OWNER,2021-05-15
A1096731,DOG,PIT BULL,FOSTER,PENDING,FOSTER,FOR ADOPT,OTHRINTAKS,2021-03-20,UNKNOWN,ADOPTION,2021-03-20
A1116703,DOG,RAT TERRIER,DC 21,UNAVAILABLE,FOSTER,FOR ADOPT,OTHER,2021-04-14,APP WNL,ADOPTION,2021-04-14
A1115734,DOG,PIT BULL,AD 013,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2021-03-07,APP SICK,ADOPTION,2021-03-20
A1115664,DOG,PIT BULL,VT 10,IMPOUNDED,TREATMENT,SPAY/NEUT,OTHRINTAKS,2021-03-18,APP INJ,TREATMENT,2021-03-20
A1118065,DOG,LABRADOR RETR,186035-01,IMPOUNDED,STRAY,AT LARGE,OTHRINTAKS,2021-04-14,UNDERAGE,RETURNED TO OWNER,2021-04-14
A1119458,CAT,DOMESTIC MH,K13,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2021-05-05,APP WNL,FOSTER,2021-05-06
A1115071,DOG,LABRADOR RETR,INJD 008,UNAVAILABLE,TREATMENT,HEART WORM,OTHRINTAKS,2021-03-31,APP WNL,TREATMENT,2021-03-31
