Animal Id,Animal Type,Animal Breed,Kennel Number,Kennel Status,Intake Type,Intake Subtype,Reason,Intake Date,Intake Condition,Outcome Type,Outcome Date
A1164060,DOG,PIT BULL,196007-01,IMPOUNDED,STRAY,AT LARGE,OTHRINTAKS,2022-12-08,APP WNL,RETURNED TO OWNER,2022-12-08
A1163469,DOG,MIXED BREED,CC 13,UNAVAILABLE,STRAY,CONFINED,OTHRINTAKS,2022-11-30,APP WNL,ADOPTION,2022-12-01
A1163164,CAT,DOMESTIC SH,AC 011,AVAILABLE,OWNER SURRENDER,APPOINT,NOTRIGHTFT,2022-11-26,APP WNL,ADOPTION,2022-11-29
A1162340,DOG,CHIHUAHUA SH,LOST,IMPOUNDED,STRAY,WEB,,2022-11-11,NORMAL,LOST EXP,2022-12-15
A1157104,DOG,MIXED BREED,QD 03,RELEASED FROM QUARANTINE,CONFISCATED,QUARANTINE,OTHRINTAKS,2022-10-10,APP WNL,RETURNED TO OWNER,2022-10-14
A1163932,DOG,MIXED BREED,DC 10,AVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-12-06,APP WNL,ADOPTION,2022-12-12
A1163378,CAT,DOMESTIC LH,FOSTER,PENDING,FOSTER,APPOINT,TRANSFER,2022-12-28,APP WNL,FOSTER,2022-12-28
A1163791,DOG,PUG,LOST,IMPOUNDED,STRAY,WEB,,2022-12-04,NORMAL,LOST EXP,2023-01-04
A1161561,CAT,DOMESTIC SH,CC 26,AVAILABLE,OWNER SURRENDER,APPOINT,PERSNLISSU,2022-11-03,APP WNL,ADOPTION,2022-11-06
A1167226,DOG,LABRADOR RETR,206007-01,IMPOUNDED,OWNER SURRENDER,URGENT,MEDICAL,2023-01-19,FATAL,EUTHANIZED,2023-01-19
A1163726,DOG,MIXED BREED,DC 03,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-12-03,APP WNL,ADOPTION,2022-12-07
A1160376,DOG,MIXED BREED,INJD 014,AVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-10-19,APP INJ,TRANSFER,2022-10-22
A1159391,DOG,BELG MALINOIS,SHD 06,EU RISK,STRAY,AT LARGE,OTHRINTAKS,2022-10-06,APP SICK,DIED,2022-10-07
A1160675,CAT,DOMESTIC SH,N07,AVAILABLE,FOSTER,APPOINT,SHORT-TERM,2022-10-29,APP WNL,FOSTER,2022-10-29
A1164727,DOG,MIXED BREED,AD 044,AVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-12-18,APP WNL,FOSTER,2022-12-24
A1168539,WILDLIFE,RACCOON,186035-01,IMPOUNDED,WILDLIFE,RABIES,OTHRINTAKS,2023-02-07,APP SICK,EUTHANIZED,2023-02-07
A1164868,CAT,DOMESTIC SH,CC 13,AVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-12-20,APP WNL,ADOPTION,2022-12-22
A1160128,CAT,DOMESTIC SH,OFFICE,UNAVAILABLE,FOSTER,APPOINT,MEDICAL,2022-10-23,DECEASED,DIED,2022-10-23
A1162617,DOG,MIXED BREED,LAB 04,LAB,STRAY,AT LARGE,OTHRINTAKS,2022-11-18,APP WNL,EUTHANIZED,2022-11-26
A1162603,DOG,MIXED BREED,FREEZER,LAB,STRAY,AT LARGE,OTHRINTAKS,2022-11-18,APP WNL,EUTHANIZED,2022-11-23
A1154510,DOG,GERM SHEPHERD,INJD 001,UNAVAILABLE,TREATMENT,HEART WORM,OTHRINTAKS,2022-12-13,APP WNL,TREATMENT,2022-12-15
A1163537,DOG,MIXED BREED,LFD 142,LAB,STRAY,CONFINED,OTHRINTAKS,2022-12-01,APP WNL,EUTHANIZED,2023-01-19
A1160200,DOG,AUST CATTLE DOG,FREEZER,LAB,CONFISCATED,SAC,EVICTION,2022-10-17,APP WNL,EUTHANIZED,2022-11-06
A1159801,CAT,DOMESTIC SH,AC 054,AVAILABLE,OWNER SURRENDER,APPOINT,PERSNLISSU,2022-10-11,APP WNL,ADOPTION,2022-10-23
A1159228,DOG,MIXED BREED,DC 02,AVAILABLE,STRAY,AT LARGE,OTHER,2022-10-04,APP WNL,ADOPTION,2022-10-17
A1160925,DOG,POODLE TOY,DC 13,AVAILABLE,OWNER SURRENDER,URGENT,PERSNLISSU,2022-10-27,APP WNL,ADOPTION,2022-10-30
A1160035,CAT,RAGDOLL,LOST,IMPOUNDED,STRAY,WEB,,2022-10-10,NORMAL,LOST EXP,2022-11-14
A1161910,DOG,PIT BULL,QD 20,LAB,CONFISCATED,QUARANTINE,OTHRINTAKS,2022-11-08,APP WNL,EUTHANIZED,2022-12-15
A1161366,DOG,PIT BULL,INCU 02,AVAILABLE,STRAY,CONFINED,OTHRINTAKS,2022-11-01,APP WNL,TRANSFER,2022-11-02
A1164120,DOG,MIXED BREED,CC 14,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-12-09,APP WNL,ADOPTION,2022-12-13
A1164355,DOG,WELSH CORGI CAR,LOST,IMPOUNDED,STRAY,WEB,,2022-12-10,NORMAL,LOST EXP,2023-01-13
A1162858,DOG,MIXED BREED,FOSTER,EU RISK,FOSTER,APPOINT,FOR ADOPT,2022-12-11,APP WNL,ADOPTION,2022-12-11
A1152433,DOG,GERM SHEPHERD,FOSTER,AVAILABLE,FOSTER,APPOINT,TRANSFER,2022-10-21,APP WNL,FOSTER,2022-10-21
